pais,año,valor,indicador,codigo,url_origen,fecha_descarga
Colombia,2019,65.0069007159493,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2018,64.1263768204459,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2017,62.2598803162841,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Colombia,2016,58.1364935728703,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2024,83.12233799,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2023,81.18318755,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2022,78.63217894,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2021,75.62650476,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2020,71.49017499,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2019,69.6321092705209,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2018,56.6595667981289,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2017,53.0317886110982,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Mexico,2016,59.5404459967255,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2024,81.95705992,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2023,79.48484477,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2022,74.67495213,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
