periodo,valor,codigo,url_origen,fecha_descarga,hash_respuesta,indicador
Nov.2021,4.02049523809524,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2021,4.03686818181818,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2022,3.88834285714286,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2022,3.790945,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2022,3.73862173913043,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2022,3.74100526315789,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2022,3.75727727272727,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2022,3.74843809523809,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jul.2022,3.90343684210526,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ago.2022,3.87355909090909,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Sep.2022,3.89895909090909,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Oct.2022,3.97934761904762,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Nov.2022,3.87657619047619,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2022,3.828975,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2023,3.83380476190476,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2023,3.84146,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2023,3.77916086956522,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2023,3.76545,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2023,3.68866818181818,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2023,3.65041904761905,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jul.2023,3.601255,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ago.2023,3.69776818181818,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Sep.2023,3.73099523809524,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Oct.2023,3.84575909090909,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Nov.2023,3.76079523809524,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2023,3.73394210526316,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2024,3.74074285714286,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2024,3.8279380952381,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2024,3.70898947368421,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2024,3.71503181818182,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2024,3.73172727272727,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2024,3.7867052631579,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jul.2024,3.764135,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ago.2024,3.74185,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Sep.2024,3.7689619047619,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Oct.2024,3.75436363636364,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Nov.2024,3.779135,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2024,3.73553684210526,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2025,3.74692272727273,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2025,3.69685,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2025,3.65248571428571,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2025,3.70003,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2025,3.65991428571429,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2025,3.60219523809524,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jul.2025,3.556945,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ago.2025,3.542385,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Sep.2025,3.50180454545455,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Oct.2025,3.41322727272727,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Nov.2025,3.37263,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2025,3.36686315789474,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2026,3.356115,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2026,3.35664,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2026,3.44835909090909,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2026,3.44349,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2026,3.435275,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2026,3.40596190476191,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
